Timestamp;Temperature (Celsius);Humidity (%)
08/10/2023 10:05:48;27,54;59,04
04/05/2023 10:05:48;25,11;47,84
19/12/2023 10:05:48;28,62;44,05
17/01/2024 10:05:48;18,69;58,16
30/11/2023 10:05:48;29,73;63,38
08/02/2023 10:05:48;14,98;55,7
11/03/2023 10:05:48;20,42;57,42
29/08/2023 10:05:48;20,52;57,2
24/11/2023 10:05:48;13,88;50,01
16/02/2023 10:05:48;17,32;64,07
15/12/2023 10:05:48;24,9;58,05
19/05/2023 10:05:48;13,02;46,35
20/05/2023 10:05:48;13,25;49,18
09/08/2023 10:05:48;26,04;41,05
12/05/2023 10:05:48;24,06;66,49
21/09/2023 10:05:48;19,38;54,89
07/10/2023 10:05:48;22,78;76,4
29/12/2023 10:05:48;29,91;64,02
21/01/2024 10:05:48;24,02;54,04
